NOC ,ADM0_A3
AFG ,AFG
ALB ,ALB
ARG ,ARG
ARM ,ARM
AUS ,AUS
AUT ,AUT
AZE ,AZE
BDI ,BDI
BEL ,BEL
BEN ,BEN
BIH ,BIH
BLR ,BLR
BOL ,BOL
BRA ,BRA
BRN ,BRN
CAF ,CAF
CAN ,CAN
CHN ,CHN
CIV ,CIV
CMR ,CMR
COD ,COD
COL ,COL
CUB ,CUB
CYP ,CYP
CZE ,CZE
DJI ,DJI
DOM ,DOM
ECU ,ECU
EGY ,EGY
ERI ,ERI
ESP ,ESP
EST ,EST
ETH ,ETH
FIN ,FIN
FRA ,FRA
GAB ,GAB
GBR ,GBR
GEO ,GEO
GHA ,GHA
GUY ,GUY
HUN ,HUN
IND ,IND
IRL ,IRL
IRQ ,IRQ
ISL ,ISL
ISR ,ISR
ITA ,ITA
JAM ,JAM
JOR ,JOR
JPN ,JPN
KAZ ,KAZ
KEN ,KEN
KGZ ,KGZ
KOR ,KOR
KOS ,KOS
LAO ,LAO
LBR ,LBR
LTU ,LTU
LUX ,LUX
MAR ,MAR
MDA ,MDA
MEX ,MEX
MKD ,MKD
MLI ,MLI
MNE ,MNE
MOZ ,MOZ
NAM ,NAM
NOR ,NOR
NZL ,NZL
PAK ,PAK
PAN ,PAN
PER ,PER
PNG ,PNG
POL ,POL
PRK ,PRK
QAT ,QAT
ROU ,ROU
RUS ,RUS
RWA ,RWA
SEN ,SEN
SLE ,SLE
SOL ,SOL
SOM ,SOM
SRB ,SRB
SUR ,SUR
SVK ,SVK
SWE ,SWE
SWZ ,SWZ
SYR ,SYR
THA ,THA
TJK ,TJK
TKM ,TKM
TLS ,TLS
TTO ,TTO
TUN ,TUN
TUR ,TUR
UGA ,UGA
UKR ,UKR
USA ,USA
UZB ,UZB
VEN ,VEN
VNM ,VNM
YEM ,YEM
ALG ,DZA
ANG ,AGO
ANZ ,AUS
BAH ,BHS
BAN ,BGD
BHU ,BTN
BIZ ,BLZ
BOT ,BWA
BRU ,BRN
BUL ,BGR
BUR ,BFA
CAM ,KHM
CHA ,TCD
CHI ,CHL
CRC ,CRI
CRO ,HRV
CRT ,GRC
DEN ,DNK
ESA ,SLV
EUN ,RUS
FIJ ,FJI
FRG ,DEU
GAM ,GMB
GBS ,GNB
GDR ,DEU
GER ,DEU
GRE ,GRC
GUA ,GTM
GUI ,GIN
HAI ,HTI
HKG ,CHN
HON ,HND
INA ,IDN
IRI ,IRN
KSA ,SAU
KUW ,KWT
LAT ,LVA
LBA ,LBY
LES ,LSO
LIB ,LBN
MAD ,MDG
MAL ,MYS
MAS ,MYS
MAW ,MWI
MGL ,MNG
MTN ,MRT
MYA ,MMR
NBO ,MYS
NCA ,NIC
NED ,NLD
NEP ,NPL
NFL ,CAN
NGR ,NGA
NIG ,NER
OMA ,OMN
PAR ,PRY
PHI ,PHL
PLE ,PSX
POR ,PRT
PUR ,PRI
RHO ,ZWE
RSA ,ZAF
SAA ,DEU
SCG ,SRB
SLO ,SVN
SRI ,LKA
SUD ,SDN
SUI ,CHE
TAN ,TZA
TOG ,TGO
TPE ,TWN
UAE ,ARE
UAR ,SYR
URS ,RUS
URU ,URY
VAN ,VUT
VIE ,VNM
YAR ,YEM
YMD ,YEM
YUG ,SRB
ZAM ,ZMB
ZIM ,ZWE
AHO ,NLD
ASA ,USA
BOH ,CZE
CGO ,COD
ISV ,USA
IVB ,GBR
SMR ,ITA
SSD ,SDS
TCH ,CZE
